questions,class
The operating system that runs on IBM-compatible machines is called what ?,ENTITY
What was the Ventura County police department that seized the county 's largest amount of cocaine ever ?,HUMAN
What is the name of the Family Circus 's dog ?,ENTITY
What did Martin Luther post on the church door at Wittenberg ?,ENTITY
Name one of the major gods of Hinduism .,HUMAN
What country borders Denmark to the south ?,LOCATION
"What dropped 1 , 313 feet in 1980 ?",ENTITY
What is the name of the vaccine for chicken pox ?,ENTITY
What two US biochemists won the Nobel Prize in medicine in 1992 ?,HUMAN
What record company was formed by Herb Alpert and Jerry Moss ?,HUMAN
Where do you find the answers for all these questions ?,LOCATION
"What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?",ENTITY
What fast-food magnate 's initials graced the left sleeve of the San Diego Padres ' baseball uniforms in 1984 ?,HUMAN
How many neurons are in the human brain ?,NUMERIC
What is a fear of reptiles ?,ENTITY
What does Knight Ridder publish ?,ENTITY
What city is . KDGE Radio located in ?,LOCATION
What can one see in Reims ?,ENTITY
What city was Bobby Kennedy assassinated in ?,LOCATION
What 's the highest possible bid in Contract Bridge ?,ENTITY
What London museum features a Chamber of Horrors ?,LOCATION
What city is served by McCarren Airport ?,LOCATION
How many lakes are there on the Earth ?,NUMERIC
Who else was considered for the role of Luke Skywalker when George Lucas was casting for Star Wars ?,HUMAN
How long does a fly live ?,NUMERIC
What two major world religions began in India ?,ENTITY
How many pounds are there in a stone ?,NUMERIC
What kind of poisoning is known as plumbism ?,ENTITY
What is the greatest source of `` white '' magic in the Marvel Universe ?,ENTITY
What amount of folic acid should an expectant mother take daily ?,NUMERIC
Who was the king who signed the Magna Carta ?,HUMAN
"How many miles is it from Frankfurt , Germany to Salzburg , Austria ?",NUMERIC
How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?,NUMERIC
What is a fear of stings ?,ENTITY
Jude Law was in what movie ?,ENTITY
What state on the Gulf of Mexico has its lowest point five feet below sea level ?,LOCATION
What was the name of Robert Fulton 's most famous steamboat ?,ENTITY
Where can I find a case on Americans with Disabilities Act of 199 ?,LOCATION
Who is the leader of India ?,HUMAN
Who is the prophet that is most connected to the Dead Sea ?,HUMAN
What are the chances of pregnacy if the penis does not penetrate the vagina ?,NUMERIC
Where is the Keck telescope ?,LOCATION
What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?,ENTITY
"Where are the apartments in Saint John , New Brunswick ?",LOCATION
Who wrote `` The Pit and the Pendulum '' ?,HUMAN
What country did the Mau Mau Uprising take place in ?,LOCATION
What are some good medical sites for information ?,LOCATION
What does a resurrectionist steal ?,ENTITY
What is the best art and design school in the world ?,HUMAN
What two vegetables are combined in succotash ?,ENTITY
Who is the Incredible Hulk in reality ?,HUMAN
What does NASA stand for ?,ABBREVIATION
Which infectious disease kills the most people worldwide ?,ENTITY
What month did the Edmund Fitzgerald sink ?,NUMERIC
What manufacturers are there in Texas ?,HUMAN
Who are the presidents of Mexico and Indonesia ?,HUMAN
Who played Al Jolson in the Jolson Story ?,HUMAN
Where were the 196 Summer Olympics held ?,LOCATION
Where is Los Vegas ?,LOCATION
Name the country which Honecker lived in .,LOCATION
What U.S. state are the Finger Lakes in ?,LOCATION
What are the ten safest American cities for pedestrians ?,LOCATION
What TV detective did Craig Stevens play ?,HUMAN
Where can I find a picture of a Blue Meanie ?,LOCATION
What university fired Angela Davis ?,HUMAN
What U.S. state does the Continental Divide leave to enter Canada ?,LOCATION
In the past 8 years who have the MVP players for the NHL been ?,HUMAN
"In AD 999 , what sort of celebrations , fears , were there ?",ENTITY
Who played Emperor Palpatine in Star Wars ?,HUMAN
What 's the name of the Wilkes plantation in Gone with the Wind ?,LOCATION
Where is the Statistical Abstract of the United States online ?,LOCATION
What 's the dumbest domesticated animal ?,ENTITY
When was the Brandenburg Gate in Berlin built ?,NUMERIC
"Whose husbands have included Conrad Hilton Jr. , and Michael Wilding ?",HUMAN
What does the number `` 5 '' stand for on FUBU clothing ?,ABBREVIATION
Who is King in Alley Oop 's home of Moo ?,HUMAN
What four tastes can a human distinguish ?,ENTITY
What is `` the airline built for professional travelers '' ?,HUMAN
What two vessels fought the first sea battle between iron-covered ships ?,ENTITY
How much of the silver production is manufactured by independent silversmiths ?,NUMERIC
What percentage of the silver production is done by independent silversmiths ?,NUMERIC
What date is Boxing Day ?,NUMERIC
How many inches tall is Stuart Little at birth ?,NUMERIC
What 1953 film won Frank Sinatra a best supporting actor Oscar ?,ENTITY
How many Stradivarius violins were ever made ?,NUMERIC
Who invented the stock ticker in 1870 ?,HUMAN
What was Einstein 's birthplace ?,LOCATION
What was George Washington afraid of ?,ENTITY
What century 's the setting for TV 's The Adventures of Robin Hood ?,NUMERIC
Who wrote the Bible ?,HUMAN
What are the top 5 fiction books of all time ?,ENTITY
Who is Henry Butler ?,HUMAN
What debts did Qintex group leave ?,NUMERIC
"Which U.S. President is buried in Washington , D.C. ?",HUMAN
What is the term for someone who hates mankind ?,ENTITY
What did San Francisco 's Milt Harper grow that measured 24 inches from tip to tip in 1974 ?,ENTITY
What college did Dikembe Mutombo play basketball for ?,HUMAN
Where are the Austerlitz and Victor Hugo subway stops ?,LOCATION
Where did Ty Cobb grow up ?,LOCATION
What Tom Wolfe book is about the Mercury astronauts ?,ENTITY
What cooking oil has `` corn goodness '' ?,ENTITY
"What is the per-capita income of Colombia , South America ?",NUMERIC
How many types of cheese are there in France ?,NUMERIC
How many `` eyes '' does a coconut have ?,NUMERIC
How many websites are there in the world ?,NUMERIC
What is the term that describes a word where only one usage has been recorded in all literature ?,ENTITY
Who made the first airplane ?,HUMAN
What measures did Clinton take to avoid the draft ?,ENTITY
What are `` darning needles '' and `` horse stingers '' better known as ?,ENTITY
How many points is a disk in the center hole worth in Crokinole ?,NUMERIC
What general direction does the journey in Around the World in 80 Days proceed in ?,LOCATION
"The lawyer who represented Randy Craft , what was his name ?",HUMAN
What do penguins eat ?,ENTITY
What organization is the Security Council a part of ?,HUMAN
What is New England 's highest mountain ?,LOCATION
What TV station did Mary Richards work for ?,ENTITY
What football bowl game 's first queen was Hallie Woods ?,ENTITY
Who was the first black to be head coach of a major league pro sports team ?,HUMAN
"Who is John Macarthur , 1767-1834 ?",HUMAN
What year did the War of 1812 begin ?,NUMERIC
What racehorse won an Associated Press poll as the greatest horse of the 20th century ?,ENTITY
What does Final Four refer to in the sports world ?,ENTITY
Who is Peter Weir ?,HUMAN
What medium is Stuart Hamblen the first singing cowboy in ?,ENTITY
How many verses are in the Bible ?,NUMERIC
What robust U.S. President imported his own instructor after seeing a judo match ?,HUMAN
What are all the different types of pizza ?,ENTITY
In what nation is Edessa located nowadays ?,LOCATION
Name a country that is developing a magnetic levitation railway system ?,LOCATION
What does BTU mean ?,ABBREVIATION
What government department did The Untouchables work for ?,HUMAN
"What drink is made up of rum , coconut milk and pineapple ?",ENTITY
What seven digits follow the area code in the number for long distance information ?,NUMERIC
What was the player 's name who played nose tackle for the Eagles in Super Bowl XV ?,HUMAN
Where is the largest dam in the world ?,LOCATION
Who held the endurance record for women pilots in 1929 ?,HUMAN
What did Andy Hardy 's father do for a living ?,HUMAN
Independent silversmith 's account for what percentage of silver production ?,NUMERIC
In what part of the world is Mozambique ?,LOCATION
Who are Woody Woodpecker 's niece and nephew ?,HUMAN
What film opens with an assassin tumbling from the Seattle Space Needle ?,ENTITY
Who created Maudie Frickett ?,HUMAN
Who was the first English circumnavigator of the globe ?,HUMAN
What is the salary of a U.S. Representative ?,NUMERIC
Who made the largest cocaine seizure in Ventura County history ?,HUMAN
What man-made waterways is 1.76 miles long ?,LOCATION
Who liberated 19th century Sicily and Naples ?,HUMAN
On what river is Strasbourg built ?,LOCATION
"What 's the maximum length , in inches , of a first baseman 's glove ?",NUMERIC
What country is located at 13 degrees North latitude and 10 degrees East longitude ?,LOCATION
Where are the busiest ports in the world ?,LOCATION
What is the pig population of the world ?,NUMERIC
What city does McCarren Airport serve ?,LOCATION
What is the most number of goals scored by a single team in an NHL hockey game ?,NUMERIC
What rabbit got its name because its ears resembled those of a jackass ?,ENTITY
Aspartame is also called what ?,ENTITY
What is a fear of trees ?,ENTITY
What actor has a tattoo on his right wrist reading Scotland Forever ?,HUMAN
How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 ?,NUMERIC
What holidays or observances are celebrated in Italy ?,ENTITY
Who appointed the chair of the Federal Reserve ?,HUMAN
"In a computer , what does SCSI mean ?",ABBREVIATION
"To get the most caffeine , what soda should I drink ?",ENTITY
"Where can I find up-to-date coastal ocean surface temperature information , preferably along North America and the Caribbean ?",LOCATION
What are the two cities in Dicken 's `` A Tale of Two Cities '' ?,LOCATION
Who is Samuel F. Pickering ?,HUMAN
What English queen had six fingers on one hand ?,HUMAN
What river runs through Liverpool ?,LOCATION
What kind of nuts are used in marzipan ?,ENTITY
When did Mount St. Helens last erupt ?,NUMERIC
What does a polyorchid man have at least three of ?,ENTITY
When was child labor abolished ?,NUMERIC
How many three-letter permutations can be made from the four letters : c ?,NUMERIC
What time of year is air travel the heaviest ?,NUMERIC
What 's the longest river in Canada ?,LOCATION
What tennis player has the nickname `` Nasty '' ?,HUMAN
What non-conformist abstract painter was dubbed Jack The Dripper by Time ?,HUMAN
How many furlongs are there in a mile-and-a-quarter recetrack ?,NUMERIC
How many millimeters are in a mile ?,NUMERIC
How big is a baby bald eagle ?,NUMERIC
What color is most often used to symbolize truth ?,ENTITY
Stuart Hamblen is considered to be the first singing cowboy of what ?,ENTITY
What was the Great Britain population from 1699-172 ?,NUMERIC
What is the term for the sum of all genetic material in a given organism ?,ENTITY
What is the best-selling television soundtrack of all time ?,ENTITY
What mountain range marks the border of France and Spain ?,LOCATION
"What late-night TV show features Larry , Bud , Melman and Toast on a Stick ?",ENTITY
What is the fastest computer ?,ENTITY
Who founded the modern theory of probability ?,HUMAN
What 's the term for a limestone deposit rising from the floor of a cave ?,ENTITY
How many people did Randy Craft murder ?,NUMERIC
Who 's The King of Swing ?,HUMAN
What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?,HUMAN
What South Vietnamese president was assassinated by his generals in 1963 ?,HUMAN
How old is too old for a child to not be talking ?,NUMERIC
When was the Hoover Dam constructed ?,NUMERIC
What ability has the silkworm moth lost through domestication ?,ENTITY
How many tenths of the Earth 's surface lie under water ?,NUMERIC
What is the Pennsylvania state income tax rate ?,NUMERIC
Who won the 1968 California Democratic primary ?,HUMAN
Who spoke the only word in Mel Brooks 's Silent Movie ?,HUMAN
What is a fear of sourness ?,ENTITY
What was Thatcher 's first name ?,HUMAN
Name the fast food chain with the golden arches .,HUMAN
What are the languages spoken by the natives in Afghanistan ?,ENTITY
"What Robert Louis Stevenson novel was inspired by Deacon William Brodie , a cabinetmaker by day and burglar by night ?",ENTITY
What is a fear of rejection ?,ENTITY
Who was the first Russian astronaut to walk in space ?,HUMAN
What is the best selling computer model ever ?,ENTITY
What is a fear of food ?,ENTITY
Who wrote ` Dubliners ' ?,HUMAN
What is the life expectancy of an elephant ?,NUMERIC
Name of King Arthur 's sword ?,ENTITY
What 1981 Candice Bergen-Jacqueline Bisset movie was a remake of 1943 's Old Acquaintance ?,ENTITY
Who is Malaysia 's 43rd prime minister ?,HUMAN
Who founded the first aerodynamics laboratory in 1912 ?,HUMAN
What is the fare cost for the round trip between New York and London on Concorde ?,NUMERIC
Who said `` Give me liberty or give me death '' ?,HUMAN
What is the location of McCarren Airport ?,LOCATION
What does the abbreviation OAS stand for ?,ABBREVIATION
What is the nickname of the Cleveland Indians ?,ENTITY
What Frederick Forsyth novel chronicles the toppling of an African government by mercenaries ?,ENTITY
What was the name of Baretta 's cockatoo ?,ENTITY
By how much will the California state gas tax rise by the year 2000 ?,NUMERIC
What 's Japan 's largest car manufacturer ?,HUMAN
Name of the powerful white trader in Conrad 's `` Heart of Darkness '' ?,HUMAN
How long is the border between Canada and the 48 conterminous states ?,NUMERIC
"What do you call a date that contains sequencing numbers , like 9-8-98 ?",ENTITY
What color is the cross on Switzerland 's flag ?,ENTITY
What is the largest island in the Mediterranean Sea ?,LOCATION
What was Joe Namath 's first contract worth ?,NUMERIC
Where is Rider College ?,LOCATION
Where was chop suey invented ?,LOCATION
Where does dew come from ?,LOCATION
How old was Lucille Ball when the show `` I Love Lucy '' premiered ?,NUMERIC
What 's the most delicate-tasting member of the onion family ?,ENTITY
"What landmark Italian restaurant can be found at 239 West 48th Street , New York City ?",LOCATION
What do you call a book of quotes ?,ENTITY
How many points is a bullseye worth in darts ?,NUMERIC
What are some mythology websites ?,LOCATION
Rotary engines were manufactured by which company ?,HUMAN
"What 1942 espionage movie reunited director John Huston with Maltese Falconers Humphrey Bogart , Mary Astor , and Sidney Greenstreet ?",ENTITY
What nationality is Ileana Cotrubas ?,LOCATION
What is the population of Kansas ?,NUMERIC
Who invented the pull-tab opener on cans ?,HUMAN
What is the name of the deranged super-criminal Otto Octavius uses ?,HUMAN
Whose acceptance speech of more than 3 minutes prompted a time limit on Academy Award thank-yous ?,HUMAN
How much Coca Cola is drunk in one day in the world ?,NUMERIC
Name the tree growing company .,HUMAN
What is Dr. Seuss ' most popular book ?,ENTITY
Where did the world come from ?,LOCATION
What animal dined on bread and oysters with a carpenter ?,ENTITY
What island group is Guadalcanal a part of ?,LOCATION
Who declared : `` I think I 'll go out and milk the elk '' ?,HUMAN
How many e-commerce companies are started every day ?,NUMERIC
What 's the only East european country not tied to the ruble ?,LOCATION
What is Judy Garland 's date of birth ?,NUMERIC
What does HIV stand for ?,ABBREVIATION
What is Shirley MacLaine known as ?,ENTITY
"What are the 7 principles of learning from the Institute for Research on Learning , IRL ?",ENTITY
What book was F. Scott Fitzgerald working on when he died in Hollywood in 194 ?,ENTITY
Which former Ku Klux Klan member won an elected office in the U.S. ?,HUMAN
What is the length of border between the Ukraine and Russia ?,NUMERIC
What is HDLC ?,ABBREVIATION
What joins white wine to put the spritz in a Spritzer ?,ENTITY
What color are seven of every 10 houses in the U.S. ?,ENTITY
What does a phobophobe fear ?,ENTITY
What country has the highest arson rate ?,LOCATION
What color beans did the ancient Romans refuse to eat ?,ENTITY
What do sailors use to measure time ?,ENTITY
Who was the actor who played Sam in the movie Casablanca ?,HUMAN
What city does Orly Airport serve ?,LOCATION
Where did Woodstock take place ?,LOCATION
What 's the most popular form of gambling with women in Las Vegas ?,ENTITY
What task does the Bouvier breed of dog perform ?,HUMAN
What is the average time to kiss somene ?,NUMERIC
What are the top five oil-producing countries in the world ?,LOCATION
What New Orleans D.A. claimed : `` My staff and I solved the assassination weeks ago '' ?,HUMAN
Where can one find Rider College ?,LOCATION
How much caffeine is in a 16 oz cup of coffee ?,NUMERIC
What is Bella Abzug 's sartorial trademark ?,ENTITY
"What was the real name of writer Ross Macdonald , creator of the hero Lew Archer ?",HUMAN
"What spider makes a superb pet , even said to recognize its master ?",ENTITY
What vehicles are raced in the Tour de France ?,ENTITY
How big is Australia ?,NUMERIC
What does it take to be a hero ?,ENTITY
What animal causes the biggest threat to humans ?,ENTITY
What is a fear of ruin ?,ENTITY
What countries have the most auto thefts ?,LOCATION
Who makes chicken `` finger lickin '' good ?,HUMAN
What director portrayed the commandant of the POW camp in 1953 's Stalag 17 ?,HUMAN
What are the names of Jacques Cousteau 's two sons ?,HUMAN
What British TV series inspired All in the Family ?,ENTITY
Who accompanied Space Ghost on his missions ?,HUMAN
"Name the 5 words that use all of the letters in the alphabet , except Q , with no repeats .",ENTITY
What World War II leader declared : `` The blow has been struck '' ?,HUMAN
Who was Israel 's first prime minister ?,HUMAN
What is the most popular sports car color ?,ENTITY
What country boasts Ismail 's Palace and the Palace of King Farouk ?,LOCATION
What Broadway show introduced the song Some Enchanted Evening ?,ENTITY
Where could I go to take a ride on a steam locomotive ?,LOCATION
What product did William Horlick discover and produce ?,ENTITY
"When not adventuring on Rann , what does Adam Strange call his profession ?",HUMAN
What occupation has the highest divorce rate ?,HUMAN
What drink contains as many types of rum as possible ?,ENTITY
Where is the Virtual Desk Reference ?,LOCATION
How loud is thunder ?,NUMERIC
What California governor said : `` Inaction may be the highest form of action '' ?,HUMAN
Who is Desmond Tutu ?,HUMAN
Who was the first person to study the stars ?,HUMAN
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?",HUMAN
What are the top 10 colleges in the United States in the field of engineering ?,HUMAN
"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",NUMERIC
What is the probability that at least 2 out of 25 people will have the same birthday ?,NUMERIC
Where is the bridge over the river Kwai ?,LOCATION
How many people did the United Nations commit to help restore order and distribute humanitarian relief in Somalia in September 1992 ?,NUMERIC
How many elephants are left on earth ?,NUMERIC
What is a softball made of ?,ENTITY
What `` little red car '' is mentioned in pop singer Prince 's hit song ?,ENTITY
Who did Doris Day mean when she said : `` I call him Ernie because he 's certainly no Rock '' ?,HUMAN
What kind of species is the monster in the film `` Jaws '' ?,ENTITY
When was the first practical commercial typewriter marketed ?,NUMERIC
"What Scandinavian country covers 173 , 732 square miles ?",LOCATION
What is the best-selling book of all time ?,ENTITY
What are the first six words of Dickens 's A Tale of Two Cities ?,ENTITY
How long would it take to get from Earth to Mars ?,NUMERIC
Where can I get mailing lists ?,LOCATION
What city boasts the Billingsgate fishmarket ?,LOCATION
Who is the owner of CNN ?,HUMAN
How long was the OJ Simpson trial ?,NUMERIC
What country lies directly south of Detroit ?,LOCATION
Where did surfing originate ?,LOCATION
What is the tallest mountain ?,LOCATION
What 's the maximum number of clubs a golfer may use in a round ?,NUMERIC
What card suit originally represented the peasant class ?,ENTITY
What 's the Hungarian word for pepper ?,ENTITY
What does the Peugeot company manufacture ?,ENTITY
How many different countries export coffee ?,NUMERIC
What is a fear of everything ?,ENTITY
How many continents are there ?,NUMERIC
Which mayonnaise refers to itself as `` real '' mayonnaise ?,ENTITY
What instrument does Benny Carter play ?,ENTITY
What knighted actor narrates TV 's The World at War ?,HUMAN
What eating utensils are used for handicapped kids ?,ENTITY
What football coach 's story was told in the movie Run to Daylight ?,HUMAN
What businesses in Alaska were affected by the Exxon Valdez oil spill ?,HUMAN
When did the Chernobyl nuclear accident occur ?,NUMERIC
Where did the Maya people live ?,LOCATION
What do opposite faces of a die always add up to ?,ENTITY
What was the name of Randy Craft 's lawyer ?,HUMAN
Kosovo is a province of what country ?,LOCATION
What New England state covers 5.9 square miles ?,LOCATION
What is the abbreviation for Original Equipment Manufacturer ?,ABBREVIATION
Hitler came to power in Germany in what year ?,NUMERIC
Who markets Spaghetti-o 's ?,HUMAN
What did the ancients call the four great elements ?,ENTITY
Where are the Haversian canals ?,LOCATION
What animal 's tail is called a brush ?,ENTITY
How many people die from tuberculosis each year ?,NUMERIC
What were the names of the three ships used by Columbus ?,ENTITY
Who co-starred with Julie Andrews in Mary Poppins ?,HUMAN
Where can I find the status of my tax return ?,LOCATION
What is the horsepower of the shuttle boosters ?,NUMERIC
What is predicted to topple over between 2010 and 2020 ?,ENTITY
When was General Manuel Noriega ousted as the leader of Panama and turned over to U.S. authorities ?,NUMERIC
How many years of bad luck follow breaking a mirror ?,NUMERIC
What kind of crystals exist ?,ENTITY
Which is the best opening move in chess ?,ENTITY
What do ladybugs eat ?,ENTITY
Who was Ezra Taft Benson ?,HUMAN
What is the Taj Majal made of ?,ENTITY
Where is the Kentucky Horse Park ?,LOCATION
What Argentine boxer was shot dead outside a Nevada brothel in May ?,HUMAN
What country boasts the most cars per mile of road ?,LOCATION
What does a farrier put shoes on ?,ENTITY
Name a Sioux language .,ENTITY
What does saliva consist of ?,ENTITY
What is Jimmy Olsen 's full name ?,HUMAN
How many people have died of tuberculosis ?,NUMERIC
What is another name for nearsightedness ?,ENTITY
How many days does a typical mayfly live ?,NUMERIC
"What famous New York City mayor wrote the hit song , `` Will You Love Me in December as You Do in May ? ''",HUMAN
What Russian city used to be called St. Petersburg and Petrograd ?,LOCATION
How many votes in Congress dissented from the 1941 declaration of war with Japan ?,NUMERIC
Who is Pia Zadora 's millionaire husband and mentor ?,HUMAN
What U.S. President was the first to breed mules ?,HUMAN
What astronomer-architect designed the present St. Paul 's Cathedral in London ?,HUMAN
What feminist wrote Sexual Politics and Flying ?,HUMAN
Who was the first American world chess champion ?,HUMAN
What is the zodiac sign for August 14 ?,ENTITY
Who was the last woman executed in England ?,HUMAN
How many school districts are there in the United States ?,NUMERIC
How long did the Paris Commune hold out for against the rest of France ?,NUMERIC
What university football team did O.J. Simpson take to the Rose Bowl ?,HUMAN
What does snafu stand for ?,ABBREVIATION
What color is Chablis ?,ENTITY
What NFL team did Vince Lombardi end his coaching career with ?,HUMAN
How much iron is in your body ?,NUMERIC
When did Thatcher become prime minister ?,NUMERIC
What are some good fractal web sites ?,LOCATION
What country imposed the Berlin Blockade in 1948 ?,LOCATION
What future movie treat was introduced to American colonists in 1603 by Native Americans ?,ENTITY
How much do drugs to treat tuberculosis cost ?,NUMERIC
Who is Prince Naseem Hamed ?,HUMAN
What kind of habitat does the scorpion live in ?,LOCATION
How many logarithmic scales are there on a slide rule ?,NUMERIC
Where is Webster University ?,LOCATION
What sports magazine has the largest circulation ?,ENTITY
What is the legal blood alcohol limit for the state of California ?,ENTITY
How hot should the oven be when making Peachy Oat Muffins ?,NUMERIC
How old is Britney Spears ?,NUMERIC
Where can I get piano music for the Jamiroquai song Everyday for the midi ?,LOCATION
What country 's capital was formed when Pesth and Buda merged ?,LOCATION
What town was the setting for The Music Man ?,LOCATION
What was Simple Simon fishing for in his mother 's pail ?,ENTITY
What did Woody Allen call the Japanese gangster film he dubbed into English as a comedy ?,ENTITY
What title does comedian Henry Youngman claim ?,HUMAN
What is `` the taste that beats the others cold '' ?,ENTITY
Who made the first airplane that could fly ?,HUMAN
"What kind of sports did they play in the years 1642-1649 , the English Civil War time ?",ENTITY
"Where can I find scientific data , `` research papers , '' on textile engineering ?",LOCATION
How many people die from snakebite poisoning in the U.S. per year ?,NUMERIC
How high is the city of Denver ?,NUMERIC
Who was International Olympic Committee chairman at the 1936 Summer Games ?,HUMAN
When was Florida admitted into the Union ?,NUMERIC
What company has built more than 2.5 billion little green houses since 1935 ?,HUMAN
How many times a year does the American Gourd Society publish The Gourd ?,NUMERIC
Where can I read about Abraham Lincoln ?,LOCATION
What will the increase be in the California gas tax by 2000 ?,NUMERIC
How far is the longest hole in 1 on any golf course and where did it happen ?,NUMERIC
What whisky is `` known by the company it keeps '' ?,ENTITY
What appointments secretary to Richard Nixon went to jail ?,HUMAN
Who released the Internet worm in the late 1980s ?,HUMAN
What is the name of the American who was captured when his plane went down over Syrian-held Lebanon ?,HUMAN
What school does Tom attend in Tom Brown 's School Days ?,HUMAN
"What basketball player is credited with 23 , 924 rebounds ?",HUMAN
How big is a normal size penis for a 15-year-old ?,NUMERIC
What does Playboy title its `` continuing dialog on contemporary issues between Playboy and its readers '' ?,ENTITY
How many American soldiers remain unaccounted from the Vietnam war ?,NUMERIC
"Where can I find a tape or book to help me say , write and understand Japanese ?",LOCATION
How many cables support the main span of the Golden Gate Bridge ?,NUMERIC
How much did Manchester United spend on players in 1993 ?,NUMERIC
What was the birthplace of Edgar Allen Poe ?,LOCATION
What does it take to become a lawyer ?,ENTITY
What American sergeant lost both of his hands in combat during World War II and then went on to act in a single movie for which he won two Oscars ?,HUMAN
Who invented the fountain ?,HUMAN
What room did W.C. Fields keep his library in ?,LOCATION
What Batman character tools around on a Batcycle ?,HUMAN
What are the main blood vessels ?,ENTITY
Where can I find the schematics to the windshield wiper mechanism ?,LOCATION
What type is a snail ?,ENTITY
Who was Sherlock Holmes 's archenemy ?,HUMAN
Where is `` Global Schoolhouse '' ?,LOCATION
How many years of schooling after highschool does it take to become a neurosurgeon ?,NUMERIC
What are the top vegetable crops in the world ?,ENTITY
What volcano showers ash on Sicily ?,LOCATION
Where are the U.S. headquarters for Procter &amp  Gamble ?,LOCATION
What does Warner Bros. call a flightless cuckoo ?,ENTITY
When did Mount St. Helen last have a major eruption ?,NUMERIC
How do you say `` eat the day '' in Latin ?,ENTITY
What are super balls made of ?,ENTITY
What 's the name of Tom Sawyer 's aunt with whom he lives ?,HUMAN
What is the fastest-growing comic strip of all time ?,ENTITY
Which member of the Micronauts spent 1 years traveling the Microverse in the Marvel comics ?,HUMAN
What doctor claimed in a 1946 book : `` There is no such thing as a bad boy '' ?,HUMAN
How long has L.L. Cool J. been married ?,NUMERIC
How much did a knight 's armor weigh ?,NUMERIC
What comedian created a punch-drunk pugilist named Cauliflower McPugg ?,HUMAN
What is the movie Jonathan Livingstone Seagull ?,ENTITY
How tall is Prince Charles ?,NUMERIC
What is the weight of air ?,NUMERIC
What is a fear of children ?,ENTITY
"What race is 1 , 137 miles long ?",ENTITY
What is the capital of Uruguay ?,LOCATION
What does the T.S. stand for in T.S. Eliot 's name ?,ABBREVIATION
"How long is the world 's largest ship , in meters ?",NUMERIC
Who is William Wordsworth ?,HUMAN
Who is Charles Lindbergh ?,HUMAN
How tall is the replica of the Matterhorn at Disneyland ?,NUMERIC
What are the largest deserts in the world ?,LOCATION
Where is Qatar ?,LOCATION
What is the richest state in the U.S. ?,LOCATION
Who is the prime minister in Norway ?,HUMAN
What actress starred in `` The Lion in Winter '' ?,HUMAN
What 's bottled in jeroboams ?,ENTITY
Who won the rugby world cup in ?,HUMAN
What is Nicholas Cage 's profession ?,HUMAN
"How many times was pitcher , Warren Spahn , a 20-game winner in his 21 major league seasons ?",NUMERIC
How many pins are used in skittles ?,NUMERIC
"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?",LOCATION
Who is the famous sister of actress Olivia De Havilland ?,HUMAN
Which German president was pressured into appointing Hitler chancellor in 1933 ?,HUMAN
"How many people have been killed in wars , armed conflicts ?",NUMERIC
"Which mammal lives , breeds , eats , and sleeps underground ?",ENTITY
What trade did the 15th and 16th century Portuguese hope to control between Asia and Europe ?,ENTITY
What was the largest city in the world to declare martial law in 1989 ?,LOCATION
What is a fear of sinning ?,ENTITY
Where is the Thomas Edison Museum ?,LOCATION
What was the first minimum wage ?,NUMERIC
What is the name of the highest mountain in Africa ?,LOCATION
What mountain range extends from the Gulf of St. Lawrence to Alabama ?,LOCATION
How many types of lemurs are there ?,NUMERIC
What are some colorful flowers that will bloom in the fall in New England ?,ENTITY
What 's the second-most-used murder weapon in the U.S. ?,ENTITY
What businesses or agencies would do an employment verification ?,HUMAN
"What famous coach said `` if you can 't beat 'em in the alley , you can 't beat 'em on the ice '' ?",HUMAN
What onetime member of Ronald Reagan 's cabinet called federal policy toward Indians `` an example of the failure of socialism '' ?,HUMAN
How many claws has a lobster called a pistol lost ?,NUMERIC
Who was Darth Vader 's son ?,HUMAN
What are the four most widely-used languages in North America ?,ENTITY
What war was fought by the Spanish as far as the Philippines ?,ENTITY
Who invented the process to make condensed milk ?,HUMAN
What is the largest city in Connecticut ?,LOCATION
What is the population of the United States ?,NUMERIC
What actor and actress have made the most movies ?,HUMAN
Who found Hawaii ?,HUMAN
What does IQ stand for ?,ABBREVIATION
Where can I find free piano scores for popular music ?,LOCATION
When did the American Civil War end ?,NUMERIC
What country is the largest diamond producer ?,LOCATION
How long does it take the moon to revolve around the Earth ?,NUMERIC
What beer is ` rockin ' America ? '',ENTITY
What is a fear of women ?,ENTITY
Who protects DC Comics ' realm of dreams ?,HUMAN
What are dinosaur droppings called ?,ENTITY
What Homerian epic chronicles events toward the end of the Trojan Wars ?,ENTITY
When did the vesuvius last erupt ?,NUMERIC
What is widely used to detect prenatal birth defects ?,ENTITY
When did the supercontinent Pangaea break up ?,NUMERIC
What kind of mammal is a colt ?,ENTITY
Who created Harry Lime ?,HUMAN
What color are a cherry tree 's flowers ?,ENTITY
Who was President Cleveland 's wife ?,HUMAN
What class of animals makes up more than two-thirds of known species ?,ENTITY
